REGION,FUEL,YEAR,VALUE
REGION1,HRNG,2023,70,678660156046
REGION1,HRNG,2024,71,5511478743432
REGION1,HRNG,2025,72,4236355926405
REGION1,HRNG,2026,72,3255025756892
REGION1,HRNG,2027,72,2273695587379
REGION1,HRNG,2028,72,1292365417866
REGION1,HRNG,2029,72,0311035248354
REGION1,HRNG,2030,71,9329705078841
REGION1,HRNG,2031,71,7340514714351
REGION1,HRNG,2032,71,535132434986
REGION1,HRNG,2033,71,3362133985369
REGION1,HRNG,2034,71,1372943620879
REGION1,HRNG,2035,70,9383753256388
REGION1,HRNG,2036,70,2946809806098
REGION1,HRNG,2037,69,6509866355808
REGION1,HRNG,2038,69,0072922905518
REGION1,HRNG,2039,68,3635979455227
REGION1,HRNG,2040,67,7199036004938
REGION1,HRNG,2041,67,4776915650414
REGION1,HRNG,2042,67,2354795295891
REGION1,HRNG,2043,66,9932674941367
REGION1,HRNG,2044,66,7510554586844
REGION1,HRNG,2045,66,5088434232321
REGION1,HRNG,2046,66,3006725571496
REGION1,HRNG,2047,66,0925016910672
REGION1,HRNG,2048,65,8843308249848
REGION1,HRNG,2049,65,6761599589023
REGION1,HRNG,2050,65,4679890928199
REGION1,HRNG,2051,65,4679890928199
REGION1,HRNG,2052,65,4679890928199
REGION1,HRNG,2053,65,4679890928199
REGION1,HRNG,2054,65,4679890928199
REGION1,HRNG,2055,65,4679890928199
REGION1,HRNG,2056,65,4679890928199
REGION1,HRNG,2057,65,4679890928199
REGION1,HRNG,2058,65,4679890928199
REGION1,HRNG,2059,65,4679890928199
REGION1,HRNG,2060,65,4679890928199
REGION1,HUNG,2015,284,847219836748
REGION1,HUNG,2016,283,285365400663
REGION1,HUNG,2017,281,723510964578
REGION1,HUNG,2018,280,161656528492
REGION1,HUNG,2019,278,599802092407
REGION1,HUNG,2020,277,037947656322
REGION1,HUNG,2021,281,676388649054
REGION1,HUNG,2022,286,314829641787
REGION1,HUNG,2023,290,953270634519
REGION1,HUNG,2024,295,591711627251
REGION1,HUNG,2025,300,230152619984
REGION1,HUNG,2026,298,97137500061
REGION1,HUNG,2027,297,712597381236
REGION1,HUNG,2028,296,453819761862
REGION1,HUNG,2029,295,195042142488
REGION1,HUNG,2030,293,936264523115
REGION1,HUNG,2031,289,075922925385
REGION1,HUNG,2032,284,215581327656
REGION1,HUNG,2033,279,355239729927
REGION1,HUNG,2034,274,494898132198
REGION1,HUNG,2035,269,634556534468
REGION1,HUNG,2036,264,686701962119
REGION1,HUNG,2037,259,738847389769
REGION1,HUNG,2038,254,79099281742
REGION1,HUNG,2039,249,84313824507
REGION1,HUNG,2040,244,89528367272
REGION1,HUNG,2041,244,434483976777
REGION1,HUNG,2042,243,973684280834
REGION1,HUNG,2043,243,51288458489
REGION1,HUNG,2044,243,052084888947
REGION1,HUNG,2045,242,591285193004
